date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2022-12-24,0.0,3.0,2.0,4.0,3.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-25,0.0,1.0,2.0,6.0,2.0,5.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-26,0.0,0.0,2.0,5.0,2.0,7.0,0.0,0.0,1.0,10.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-27,1.0,0.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,20.0,0.0,4.0,0.0,4.0,1.0,0.0,5.0,4.0,10.0,2.0,0.0,7.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-28,0.0,1.0,3.0,5.0,8.0,6.0,0.0,0.0,1.0,14.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,8.0,1.0,0.0,5.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-12-29,0.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,2.0,18.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-30,0.0,1.0,2.0,6.0,3.0,7.0,0.0,0.0,1.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,10.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
2022-12-31,1.0,0.0,3.0,8.0,3.0,2.0,1.0,0.0,1.0,13.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,6.0,3.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
